Era,Poem,Romaji,My translation,俳人,Poet,Dates,Season,Kigo,Original source ,Modern Source,Notes,Maegaki,NKBZ,俳句大観,名歌名句辞典,俳句の歴史,現代俳句,自選自解,蝸牛,古典俳句,Ueda Haiku,Keene World,Keene Dawn,Blyth Haiku,Blyth History,Fay Aoyagi,English Saijiki,21 Century,Other translation,Saijiki priority
Edo,一はつの 花や夏野の きのうけふ,"ichi hatsu no
hana ya natsuno no
kinō kyō","first iris blooms—
yesterday and today
the summer meadow",斎藤 徳元,Saito Tokugen,1559-1647,Summer,"一初 【いちはつ】 ichi-hatsu, iris [Iris tectorum] (early summer).",,ＮKBZ 近世俳句俳文集,"一初 (ichihatsū) is the first iris to bloom, marking the transition into summer. 夏野 (natsuno) = summer field.",,,,,,,,,,,,,,,,,,,
Edo,鮎膾藍より青き蓼酢かな,"ayu namasu
ai yori aoki 
tade zu kana ","sweet fish salad
bluer than indigo
nettle vinegar ",斎藤 徳元,Saito Tokugen,1559-1647,Summer,"鮎 【あゆ】 ayu, sweet fish / ayu (all summer).",,俳句大観,蓼酢 (tadezu) = smartweed vinegar sauce for ayu. 蓼 (tade) also a summer kigo.,,,,,,,,,,,,,,,,,,,
Edo,今まではいきたはごとを月夜かな,"ima made wa
ikita wa goto wo
tsukiyo kana","until just now
everything felt like a dream—
a moonlit night",斎藤 徳元,Saito Tokugen,1559-1647,Autumn,"月 【つき】 tsuki, moon (mid autumn).",,俳句大観,"The moon as metaphor for dreamlike existence. まで (made) = until now, suggesting a sudden awakening.",,,,,,,,,,,,,,,,,,,
Edo,唐人も渡るや霜の日本橋,"toujin mo
wataru ya shimo no
nihonbashi","even the foreign merchants
cross it—Nihonbashi
in the frost",斎藤 徳元,Saito Tokugen,1559-1647,Winter,"霜 【しも】 shimo, frost (mid winter).",,俳句大観,Nihonbashi in frost. 唐人 (tōjin) = Chinese/foreign merchant; the bridge as cosmopolitan meeting point.,,,,,,,,,,,,,,,,,,,
Edo,口切に時雨を知らぬ青茶かな,"kuchikiri ni
shigure wo shiranu
aojya kana","the season's first tea—
this pale green, ignorant
of the winter rain",斎藤 徳元,Saito Tokugen,1559-1647,Winter,"口切 【くちきり】 kuchikiri, opening of the tea jar (early winter).",,俳句大観,口切 (kuchikiri) is the ceremony of opening the new year's tea jar—an early winter tea-ceremony kigo. 時雨 shigure = winter drizzle.,,,,,,,,,,,,,,,,,,,
Edo,煙にもすすけず白し富士の雪,"kemuri ni mo
susukenu shiroshi
Fuji no yuki","not even smoke
can darken it—white
snow on Fuji",斎藤 徳元,Saito Tokugen,1559-1647,Winter,"雪 【ゆき】 yuki, snow (all winter).",,俳句大観,富士 (Fuji) snow so pure even smoke cannot stain it.,,,,,,,,,,,,,,,,,,,
Edo,五月雨の晴れて犬なく日和かな,"samidare no
harete inu naku
hiyori kana","the long rains clear—
a dog barks into
the fine weather",斎藤 徳元,Saito Tokugen,1559-1647,Summer,"五月雨 【さみだれ】 samidare, early summer rains / monsoon (mid summer).",,俳句大観,五月雨 (samidare) = the prolonged early summer rains. A dog barks when they finally clear.,,,,,,,,,,,,,,,,,,,
Edo,諸行無常聞くや林鐘の声,"shogyo mujo
kiku ya rinsho no
koe","all things must pass—
so I hear in the tolling
of the summer bell",斎藤 徳元,Saito Tokugen,1559-1647,Summer,"林鐘 【りんしょう】 rinshō, sixth-month bell tone (mid summer).",,俳句大観,"林鐘 is the musical note associated with the sixth lunar month (midsummer). 諸行無常 (shōgyō mujō) = Buddhist ""all things are impermanent.""",,,,,,,,,,,,,,,,,,,
Edo,たぎりてや湯玉たばしる霰釜,"tagiri te ya
tama tobashiru
arare kama","how it boils—
hail beads scatter and fly
from the kettle",斎藤 徳元,Saito Tokugen,1559-1647,Winter,"霰 【あられ】 arare, snow pellets [often given in dictionaries, and therefore mistranslated, as ""hail""--which is 雹【ひょう】 hyō--a summer phenomenon] (all winter).",,俳句大観,霰釜 (arare-gama) = a hail-patterned tea kettle. 湯玉 (tama) = water beads from boiling—pun on hail.,,,,,,,,,,,,,,,,,,,
Edo,人魂か魂祭る野に飛ぶ蛍,"hitodama ka
tamamatsuru no ni
tobu hotaru","a wandering soul?
in the fields of the bon festival
a firefly drifts",斎藤 徳元,Saito Tokugen,1559-1647,Summer,"蛍 【ほたる】 hotaru, firefly / fireflies (mid summer).",,俳句大観,人魂 (hitodama) = will-o'-the-wisp / wandering soul. Bon festival association; fireflies as the souls of the dead.,,,,,,,,,,,,,,,,,,,
Edo,武蔵野の雪ころばしか富士の山,"musashino no
yuki korobashi ka
Fuji no yama","Musashino's snow
rolling down, is it?
Mount Fuji",斎藤 徳元,Saito Tokugen,1559-1647,Winter,"雪 【ゆき】 yuki, snow (all winter).",,俳句大観,Musashino plain snow rolling toward Fuji—playful image of snow sliding off the plain to gather on the peak.,,,,,,,,,,,,,,,,,,,
Edo,槍梅の散らしかかるこだちかな,"yari ume no
chirashi kakaru
kodachi kana","scattered plum blossoms
drop upon the thrusting grove
of young trees",斎藤 徳元,Saito Tokugen,1559-1647,Spring,"梅 【うめ】 ume, （sometimes むめ mume）, plum (blossoms) [technically, the ""Japanese apricot"", Prunus mume; but this has almost always been translated ""plum"" for literary purposes] (early spring).",,俳句大観,槍梅 (yari ume) = spear-shaped plum branch variety. Petals scattering over a grove of young trees.,,,,,,,,,,,,,,,,,,,
Edo,霞さへまだらにたつやとらの年,"kasumi sae
madara ni tatsu ya
tora no toshi","even the mist
is decked in stripes
year of the tiger ",松永貞徳,Matsunaga Teitoku,1571-1654,Spring,"霞 【かすみ】 kasumi, (spring) mist [frequently translated ""haze""; see note ""On Haze, Mist, Fog""] (all spring).",Puppy Collection,ＮKBZ 近世俳句俳文集,,,,,,,,,,,,,,,,,,,,
Edo,鳳凰も出でよのどけきとりの年,"hōō mo ide 
nodokeki 
tori no toshi","may even phoenixes
come out this calm
year of the bird",松永貞徳,Matsunaga Teitoku,1571-1654,New year,"【のどけし】 nodokeshi, tranquil.",Puppy Collection,ＮKBZ 近世俳句俳文集,,,,,,,,,,,,,,,,,,,,
Edo,花よりも団子やありて帰る雁,"hana yori mo
dango ya arite
kaeru kari","It is said, dumplings
are better than blossoms-
returning geese.",松永貞徳,Matsunaga Teitoku,1571-1654,Spring,帰る雁,Puppy Collection,ＮKBZ 近世俳句俳文集,,,,,,,,,,,,,,,,,,,帰る雁 (Returning geese) spring,
Edo,けさたるるつららやよだれうしの年,"kesa taruru
tsurara ya yodare
ushi no toshi","• 
• 
• ",松永貞徳,Matsunaga Teitoku,1571-1654,New Year,"丑の年 【うしのとし】 ushi no toshi, Year of the Ox (New Year).",,,つらら (tsurara) = icicles; よだれ (yodare) = drool—comic image of ox drooling icicles at New Year.,,,,,,,,,,,,,,,,,,,
Edo,紅梅やかの銀公がからごろも,"kōbai ya 
kano ginkō no 
Karakoromo","crimson plum—
renowned Empress Ginko’s
Chinese robe",松永貞徳,Matsunaga Teitoku,1571-1654,Spring,紅梅,Crimson Plum Thousand Verses,Haiku Taikan ,,,,,,,,,,,,,,,,,,,,
Edo,烏には似ぬうの花ぞ鷺の色,"karasu niwa
ninu unohana zo
sagi no iro","resembling a crow
not in the least, the cormorant flower
color of egret",松永貞徳,Matsunaga Teitoku,1571-1654,Summer,"卯の花 【うのはな】 u-no-hana, deutzia flowers [Deutzia crenata] (early summer).",Puppy Collection,,,,,,,,,,,,,,,,,,,,,
Edo,比翼かやはねをならべて帰雁,"hiyoku kaya
hane wo narabete
kaeru kari","be as two birds! 
flying wingtip to wingtip
returning geese",松永貞徳,Matsunaga Teitoku,1571-1654,Spring,帰る雁,Puppy Collection,SNKBT 初期俳諧集,"帰雁 (kaeru kari) = returning geese, a classic spring kigo. 比翼 (hiyoku) = paired birds flying wing to wing—symbol of conjugal love.",,,,,,,,,,,,,,,,,,帰る雁 (Returning geese) spring,
Edo,松ならび穴へ餅ひき子のひ哉,"matsu narabi
ana e mochi hiki
ko no hi kana","rows of pine trees—
into the hole they pull the mochi
this Children's Day",松永貞徳,Matsunaga Teitoku,1571-1654,New Year,"子の日 【ねのひ】 ne no hi, Day of the Rat (New Year).",,SNKBT 初期俳諧集,"子の日 is the first Day of the Rat in the new year, traditionally spent pulling up young pines. Mochi is pulled into holes.",,,,,,,,,,,,,,,,,,,
Edo,正月の礼者とながむいぬの年,"shogatsu no
reija to nagamu
inu no toshi","New Year's visitors—
I watch them come and go
in the Year of the Dog",松永貞徳,Matsunaga Teitoku,1571-1654,New Year,"礼者 【れいしゃ】 reisha, New Year's callers (New Year).",,,戌 (inu) = Year of the Dog. New Year's visitors observed while watching the year cycle.,,,,,,,,,,,,,,,,,,,
Edo,野寺あれて跡にやはゆる仏の座,"nodera arete
ato ni ya wa yuru
hotoke no za","the country temple decays—
and in its place a lotus
burns warmly on",松永貞徳,Matsunaga Teitoku,1571-1654,Spring,"梅 【うめ】 ume, （sometimes むめ mume）, plum (blossoms) [technically, the ""Japanese apricot"", Prunus mume; but this has almost always been translated ""plum"" for literary purposes] (early spring).",,,"Alludes to the legend of 飛梅 (tobiume), the plum that flew to Dazaifu to follow Sugawara no Michizane into exile.",,,,,,,,,,,,,,,,,,,
Edo,かははがれからきめやみる山椒の木,"kawa wa gare
kara ki me ya miru
sansho no ki","the river runs dry—
looking at the withered buds
of the pepper tree",松永貞徳,Matsunaga Teitoku,1571-1654,Spring,"花の雨 【はなのあめ】 hana no ame, blossom rain (mid spring).",,,pun: ame = rain and candy. Let the blossoms sleep (nursed by the rain / candy). Cf. Row 74 which is a variant.,,,,,,,,,,,,,,,,,,,
Edo,信あれば是も飛梅の奇特かな,"shin areba
kore mo tobi ume no
kitoku kana","with true faith
even this is a miracle
of the flying plum",松永貞徳,Matsunaga Teitoku,1571-1654,Spring,"土筆 【つくし】 tsukushi, horsetail shoot(s) [the reproductive shoots of Equisetum arvense] (mid spring).",,,Horsetail shoots sold by street vendors in the hakama-cloth district.,,,,,,,,,,,,,,,,,,,
Edo,ねふらせて養ひ立よ花の雨,"nefurasete
yashihai tate yo
hana no ame","let it sleep
and nurse it into growth—
the blossom rain",松永貞徳,Matsunaga Teitoku,1571-1654,Summer,"暑き夜 【あつきよ】 atsuki yo, hot night (all summer).",,,天の原 (amano hara) = the plain of heaven / the night sky. Playful: are the stars sweating from the heat?,,,,,,,,,,,,,,,,,,,
Edo,つくつくし売るやはかまの町くだり,"tsukushi uru ya
hakama no machi
kudari","horsetails for sale—
down the street of hakama
shops they go",松永貞徳,Matsunaga Teitoku,1571-1654,New Year,"玉祭 【たままつり】 tama matsuri, spirit festival (New Year).",,,正月 (shōgatsu) = New Year. 玉祭 here likely refers to a New Year game or spirit invocation.,,,,,,,,,,,,,,,,,,,
Edo,暑き夜の星はあせぼかあまの原,"atsuki yo no
hoshi wa asebo ka
amano hara","on this hot night
are the stars sweating too
up in the sky-plain?",松永貞徳,Matsunaga Teitoku,1571-1654,Autumn,"蟋蟀 【こおろぎ】 kōrogi, （こほろぎ）, cricket(s) (all autumn).",,,"きれぎれす = onomatopoeia for the cricket's cry. ""Patch it, patch it"" (つづりさせ) mimics the sound.",,,,,,,,,,,,,,,,,,,
Edo,正月にうちしは夢か玉まつり,"shogatsu ni
uchi shi wa yume ka
tama matsuri","struck at New Year—
was it a dream?
the spirit festival",松永貞徳,Matsunaga Teitoku,1571-1654,Autumn,"木の葉 【このは】 ko-no-ha, leaves of trees [noted for drying, falling, blowing in wind] (all winter).",,,"おもしろく (omoshiroku) = with pleasure/delight. はらはら = leaves scattering lightly—a gentle, pleasing fall.",,,,,,,,,,,,,,,,,,,
Edo,つづりさせとちちち鳴くやきれぎれす,"tsuzuri sase to
chichichi naku ya
kiregiresu","""patch it, patch it""
so chirps the cricket,
over and over",松永貞徳,Matsunaga Teitoku,1571-1654,Autumn,"蟋蟀 【こおろぎ】 kōrogi, （こほろぎ）, cricket(s) (all autumn).",,,,,,,,,,,,,,,,,,,,,,
Edo,おもしろくはらはら落る木葉哉,"omoshiroku
harahara ochiru
konoha kana","delightfully
scattering and falling—
the fallen leaves",松永貞徳,Matsunaga Teitoku,1571-1654,Autumn,"木の葉 【このは】 ko-no-ha, leaves of trees [noted for drying, falling, blowing in wind] (all winter).",,,,,,,,,,,,,,,,,,,,,,
Edo,門前に市も立花の盛哉,"kado mae ni
ichi mo tachibana no
sakari kana","a throng of mandarin viewers
gather before my gate 
like a bazaar ",松永貞徳,Matsunaga Teitoku,1571-1654,summer,Tachibana,Puppy Collection,ＮKBZ 近世俳句俳文集,based on saying; pun on tachi,,,,,,,,,,,,,,,,,,,
Edo,七夕のなかうどなれや宵の月,"tanabata no
nakaudo nare ya
yoi no tsuki","be the matchmaker 
for the star festival—
evening moon",松永貞徳,Matsunaga Teitoku,1571-1654,Autumn,"七夕 【たなばた】 tanabata, Festival of the Weaver.",Puppy Collection,Haiku Taikan ,,,,,,,,,,,,,,,,,,,,
Edo,皆人のひるねのたねや秋のつき,"mina hito no
hirune no tane ya
aki no tsuki","the seed of 
everyone's naps—
autumn moon ",松永貞徳,Matsunaga Teitoku,1571-1654,Autumn,"月 【つき】 tsuki, moon.",Puppy Collection,Haiku Taikan ,,,,,,,,,,,,,,,,,,,,
Edo,かへり点の文字か跡先帰雁,"kaeriten no
moji ka ato saki
kaerikari","diacritical marked
letters? Switching order
returning geese",松永貞徳,Matsunaga Teitoku,1571-1654,Spring,帰る雁 (Returning geese) spring,Enokoshū犬子集 (Puppy Collection) #305,ＮKBZ 近世俳句俳文集,,,,,,,,,,,,,,,,,,,,
Edo, 酒や時雨のめば紅葉ぬ人もなし,"sake ya shigure 
nomeba momijinu
hito mo nashi","wine & winter drizzle
drink it up and everyone's face  
reddens like maple leaves",松永貞徳,Matsunaga Teitoku,1571-1654,Autumn,"紅葉 【もみじ】 momiji,  red (maple) leaves.",Enokoshū犬子集 (Puppy Collection),ＮKBZ 近世俳句俳文集,,,,,,,,,,,,,,,,,,,,
Edo,在次第うす雪きやせ今日の春,"ari shidai
usu yuki kiyase
kyō no haru","melt every last bit
of the dappled snow
this day of spring",松永貞徳,Matsunaga Teitoku,1571-1654,Spring,"春【はる】haru, Spring.",Kunlun Mountain Collection,Haiku Taikan ,daiusu means Christian. Poem about Christian upraising.,,,,,,,,,,,,,,,,,,,
Edo,ありたつたひとりたつたる今年かな,"ari tattta  
hitori tattaru  
kotoshi kana ","Oh! He stood!
He is standing by himself!
This New Year",松永貞徳,Matsunaga Teitoku,1571-1654,Spring,"春立つ 【はるたつ】 haru tatsu, spring begins.",Puppy Collection,Haiku Taikan ,,,,,,,,,,,,,,,,,,,,
Edo, 歌いづれ小町躍や伊勢躍,"uta izure			
komachi odori ya		
ise odori","which has the better songs?
the Komachi dance-
or the Ise dance",松永貞徳,Matsunaga Teitoku,1571-1654,Autumn,"踊 【おどり】 odori, (Bon Festival) dance/dancing [note that while this is the common word for dancing, in haikai it always means dancing at Obon unless otherwise specified] (early autumn).",Puppy Collection,Haiku Taikan ,,,,,,,,,,,,,,,,,,,,
Edo,大服や城を粉になす茶磨山,"ōfuku ya
shiro wo ko ni nasu
chausuyama","auspicious New Year’s tea—
the castle is ground to powder
from Mt. Tea Mortar ",松永貞徳,Matsunaga Teitoku,1571-1654,Spring,大服,New Year's 3 poem set,Haiku Taikan ,marks the end of the Osaka campain. Earlest known saitan mitsumono,,,,,,,,,,,,,,,,,,,
Edo,しほるるは何かあんずの花の色,"shioruru wa
nanka annzu no 
hana no iro","withering
with worry, the hue 
of apricot blossoms",松永貞徳,Matsunaga Teitoku,1571-1654,Spring,"杏の花 【あんずのはな】 anzu no hana, apricot blossoms.",Puppy Collection,Haiku Taikan ,anzu ouns apricot and worry,,,,,,,,,,,,,,,,,,,
