Poem,Romaji,My translation,俳人,Poet,Dates,Season,Kigo,Original source ,Modern Source,Notes,Maegaki,NKBZ,俳句大観,名歌名句辞典,俳句の歴史,現代俳句,自選自解,蝸牛,古典俳句,Ueda Haiku,Keene World,Keene Dawn,Blyth Haiku,Blyth History,Fay Aoyagi,English Saijiki,21 Century,Other translation,Saijiki priority
寒くとも　これまことの　雪ほとけ,samuku tomo / kore makoto no / yukibotoke,"though it is cold —
this is the true one,
snow buddha",,,,Winter,雪ほとけ yukibotoke (snow buddha),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
にがにがしい　つままで嵐　ふきの蕾,niganigashii / tsuma made arashi / fuki no tsubomi,"how disagreeable —
a storm even to pluck
the coltsfoot buds",,,,Spring,ふきの蕾 fuki no tsubomi (coltsfoot buds),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
春さむし　いつまで嵐　ふきの薹,haru samushi / itsu made arashi / fuki no tō,"spring is cold —
how long will the storm blow,
coltsfoot shoots",,,,Spring,ふきの薹 fuki no tō (coltsfoot shoots),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
飛梅　やからろがろしくも　神の春,tobiumé ya / kakarogaroshi ku mo / kami no haru,"the flying plum —
how lightly it moves,
spring of the god",守武,Morotake,,Spring,梅 ume (plum blossoms),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
青柳の　まゆかく　岸のひたひかな,aoyagi no / mayukaku / kishi no hitahi kana,"the green willow
draws its brows —
the forehead of the bank",,Morotake,,Spring,青柳 aoyagi (green willow),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
花よりも　鼻にありけるに　ほひかな,hana yori mo / hana ni arikeru / nioi kana,"more than the blossoms —
it was in the nose all along,
that fragrance",,Morotake,,Spring,花 hana (blossoms; cherry blossoms),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
かさきぎや　今日久かたの　雨の川,kasakigi ya / kyō hisakata no / ame no kawa,"umbrella trees —
today, after all this time,
rain on the river",,Morotake,,Summer,雨 ame (rain),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
霞きへ　まだらにありて　たらの年,kasumi kie / madara ni arite / tara no toshi,"the mist dissolves —
dappled and lingering,
another year",貞徳,Teitoku,,Spring,霞 kasumi (spring haze),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
山の腰に　ひるねの種や　秋の月,yama no koshi ni / hirune no tane ya / aki no tsuki,"at the mountain's waist —
seeds of an afternoon nap,
autumn moon",,Teitoku,,Autumn,秋の月 aki no tsuki (autumn moon),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
花よりも　団子にありて　帰る雁,hana yori mo / dango ni arite / kaeru kari,"more than the blossoms —
it's the dumplings that matter,
geese returning",,Teitoku,,Spring,帰る雁 kaeru kari (returning geese),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
皆人の　夕だちや　雲の帯,mina hito no / yūdachi ya / kumo no obi,"everyone caught —
in the evening shower,
a sash of cloud",,Teitoku,,Summer,夕立 yūdachi (evening shower),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
秋やら今朝　一足に知るの　ごひ縁,aki yara kesa / hitoashi ni shiru no / goi-en,"is it autumn already —
in a single step, knowing:
the sound of a rake",重頼,Shigeyori,,Autumn,秋 aki (autumn),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
やあしばらく　花に酔へる　雲の乱れ足,yā shibaraku / hana ni yoeru / kumo no midarashi,"wait — just a moment —
drunk on blossoms,
the cloud's staggering step",立圃,Riptō,,Spring,花 hana (blossoms; cherry blossoms),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
天も花に　酔へる　鐘撞く事,ten mo hana ni / yoeru / kane tsuku koto,"even heaven drunk on blossoms —
the tolling of the bell",,Riptō,,Spring,花 hana (blossoms; cherry blossoms),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
かをり来て　目に酔ひたまる　梅の花,kaori kite / me ni yoi tamaru / ume no hana,"the fragrance drifts in —
pooling behind the eyes,
plum blossoms",,Riptō,,Spring,梅の花 ume no hana (plum blossoms),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
これはこれはとばかり花の吉野山,kore wa kore wa to / bakari / hana no Yoshinoyama,"oh — oh —""
there are no other words:
the blossoms of Yoshino",,Teitoku,,Spring,花 hana (blossoms; cherry blossoms),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
歌いくさ　文武二道の　蛙かな,utaikusa / bunbu futamichi no / kawazu kana,"the singing contest —
frogs versed in both
the ways of pen and sword",貞室,Teishitsu,,Spring,蛙 kawazu (frog),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
福の神を　今日乗せ来るや　午の年,fuku no kami wo / kyō nose kuru ya / uma no toshi,"carrying the god of fortune —
arriving today:
the year of the horse",,Teishitsu,,New Year,午の年 uma no toshi (year of the horse),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
若竹の心かけ樋や　軒のつま,wakatake no / kokoro kake-toi ya / noki no tsuma,"the young bamboo's heart —
a hanging gutter,
the eaves' edge",令徳,Reitoku,,Summer,若竹 wakatake (young bamboo),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
一僕とほくほくありく　花見かな,hitori boku / tōku tōku ariku / hanami kana,"one servant boy
walking on and on —
flower-viewing",西武,Seibu,,Spring,花見 hanami (flower-viewing),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
春立つや　人の心を　うご霞,haru tatsu ya / hito no kokoro wo / ugo kasumi,"spring arrives —
stirring the hearts of people,
the haze",季吟,Kigin,,Spring,春立つ haru tatsu (spring arrives),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
春立つや　にほんめで　たき門の松,haru tatsu ya / Nihon mede / taki kado no matsu,"spring arrives —
a Japan worth celebrating:
the pine at the gate",徳元,Tokumoto,,Spring,春立つ haru tatsu (spring arrives),,Yamashito Haiku Rekishi,Chapter 1: From Muromachi Haikai to Teimon Haikai,,,,,,,,,,,,,,,,,,,
里人の　わたり候　頚の霜,sato hito no / watari sōrō / kubi no shimo,"the village folk —
do you pass this way?""
frost on the neck",宗因,Sōin,,Winter,霜 shimo (frost),,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
ながむとて　花にもいたく　慣れぬれば,nagamu tote / hana ni mo itaku / narenareba,"gazing so long —
even the blossoms start to hurt,
grown too familiar",,Sōin,,Spring,花 hana (blossoms; cherry blossoms),,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
今こんと　いひひしばも　かたし　頚の料理の骨,ima kon to / iihishiba mo / katashi kubi no ryōri no hone,"i'll come right now, you said —
and now it's all that's hard:
bones of a neck dish",,Sōin,,,,,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
鶯を　日毎に　きけと　興は有りて,uguisu wo / higoto ni kike to / kyō wa arite,"listen to the warbler —
every day, they say,
and today there is delight","西鶴, as Tsuruyuki 鶴永",Saikaku,,Spring,鶯 uguisu (warbler; bush warbler),,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
飛梅　ふるきも　又あらたなると　神の春,tobiumé / furuki mo mata / arata naru to / kami no haru,"the flying plum —
the old becomes new again,
spring of the god",覚澄,Kakucho,,Spring,梅 ume (plum blossoms),,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
山　ふかく　入る　旅　ぎせる　霧　こめて,yama fukaku / iru tabi / giseru / kiri komete,"deep into the mountain —
a traveller's pipe,
wrapped in mist",武仙,Busen,,Autumn,霧 kiri (mist; autumn mist),,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
革巾　着　やいつの　珊瑚　小　鹿,kawakignu / ki ya itsu no / sango ko-jika,"a leather purse —
when was the little deer
turned to coral?",鶴永,Tsuruyuki,,,,,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
天川に　紅葉　ながる　珊珠　男,Amakawa ni / momiji nagaru / sanju otoko,"on the Amakawa —
autumn leaves drifting,
a coral man",正察,Shōsatsu,,Autumn,紅葉 momiji (autumn leaves),,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
咲く花や　懐紙合はせて　四百本,saku hana ya / kaishi awasete / yonhyaku-hon,"blossoms in bloom —
four hundred sheets of paper
bound together",Tsuruyuki 鶴永,Saikaku,,Spring,花 hana (blossoms; cherry blossoms),,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
水引　壱　把　青柳の　糸,mizuhiki / ichi wa / aoyagi no ito,"one bundle of cord —
threads of the green willow",方由,Hōyu,,Spring,青柳 aoyagi (green willow),,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
春風を　おさむる　へぎに　熨斗添へて,harukaze wo / osamuru / hegi ni / noshi soete,"the spring wind contained —
in a thin cedar box,
with a gift-strip attached",西翁,Saiō,,Spring,春風 harukaze (spring wind),,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
しれぬ世や　釈迦の死に跡に　金がある,shirenu yo ya / Shaka no shiniatoni / kane ga aru,"this world makes no sense —
where the Buddha died,
there is money",西鶴,Saikaku,,,,,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
大晦日　定めなき世の　さだめかな,ōmisoka / sadame naki yo no / sadame kana,"new year's eve —
the one fixed point
in a world without fixity",,Saikaku,,New Year,大晦日 ōmisoka (New Year's Eve),,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
今朝国土　笑はせ初めぬ　俳諧師,kesa kokudo / warawase somenu / haikaishi,"this morning the whole land —
made to laugh for the first time:
a haikai master",高政,Takamasa,,New Year,,,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
木之の端の　法師肥えや　花の暮,kinohate no / hōshi koe ya / hana no kure,"at the edge of the grove —
a fat priest,
evening blossoms",常矩,Tsunenori,,Spring,花 hana (blossoms; cherry blossoms),,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
蛇之助が　恨みの鐘や　桜の雪,Janoske ga / urami no kane ya / sakura no yuki,"Janoske's bell of resentment —
cherry-blossom snow",惟中,Ichu,,Spring,桜 sakura (cherry blossoms),,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
恥ぞつむ　我が　窓の　網引かな,haji zo tsumu / waga / mado no / ami-hiki kana,"shame piles up —
at my window,
hauling the nets",松意,Shōi,,,,,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
見えにけり　くつその　かみ　八岐の大生海鼠へ,mie ni keri / kutsuso no kami / Yamata no ōnamako e,"now it appears —
the god of shoes,
toward the great eight-branched sea-slug",在色,Zaishiki,,,,,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
酢瓶に　けり蚤の　都のおもてふが,su-kame ni / keri nomi no / miyako no omote fuga,"into the vinegar jar —
a flea's elegant capital,
its surface refined",三千風,Michikaze,,,,,Yamashito Haiku Rekishi,Chapter 2: The Novelty of Danrin Haikai,,,,,,,,,,,,,,,,,,,
富士に傍うて　三月七日八日かな,Fuji ni sobaute / sangatsu nanuka yōka kana,"keeping close to Fuji —
the seventh and eighth
of the third month",信徳,Shintoku,,Spring,三月 sangatsu (third month; spring),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
稲妻に　片日影　ゆく棺,inazuma ni / katahikage / yuku hitsugi,"in a flash of lightning —
half in shadow,
a passing coffin",,Shintoku,,Autumn,稲妻 inazuma (lightning),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
月一つ　柳ち残る　木の間より,tsuki hitotsu / yanagi chinokoru / koma yori,"one moon —
a willow still remaining,
through the trees",素堂,Sodō,,Autumn,月 tsuki (moon; autumn moon),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
綿の花　たまたま蘭に　似たるかな,wata no hana / tamatama ran ni / nitaru kana,"the cotton flower —
by chance resembling
an orchid",言水,Kiginsui,,Autumn,綿の花 wata no hana (cotton flower),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
しら雲を　吹き尽くしたる　新樹かな,shirakumo wo / fukitsukushitaru / shinjukana,"having blown away
every last white cloud —
fresh young leaves",,Kiginsui,,Summer,新樹 shinju (fresh young leaves),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
笹の葉に　西日のめぐる　時雨かな,sasa no ha ni / nishi-hi no meguru / shigure kana,"on the bamboo leaves —
the western sun turning
through the winter drizzle",,Kiginsui,,Winter,時雨 shigure (winter drizzle),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
芋洗ふ　女に月は　落ちにけり,imo arau / onna ni tsuki wa / ochi ni keri,"washing the taro —
onto the woman
the moon has fallen",,Kiginsui,,Autumn,芋 imo (taro; potato),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
夜や秋や　海士のやせ子や　鳴く鷗,yo ya aki ya / ama no yaseko ya / naku kamome,"is it night, is it autumn —
is she a diver's thin child?
the crying gull",来山,Raizan,,Autumn,秋 aki (autumn),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
菜の花や　淀も桂も　すれわれ夕涼み,na no hana ya / Yodo mo Katsura mo / sure-ware yūsuzumi,"rapeseed blossoms —
the Yodo and the Katsura too
rubbing past us in the evening cool",才麿,Saitō,,Spring,菜の花 na no hana (rapeseed blossoms),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
春の夢　気の違はぬ　うらめしい,haru no yume / ki no tagawanu / urameshii,"a spring dream —
how resentful
that I didn't lose my mind",,Saitō,,Spring,春の夢 haru no yume (spring dream),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
行水も　日まぜになりぬ　虫のこゑ,gyōzui mo / himazeni narinu / mushi no koe,"the outdoor bath
now taken every other day —
voices of insects",,Saitō,,Autumn,虫の声 mushi no koe (insect voices),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
元日や　されば野川の　水の音,ganjitsu ya / sareba nogawa no / mizu no oto,"new year's day —
and so, the sound of water
in the field stream",鬼貫,Onitsura,,New Year,元日 ganjitsu (New Year's Day),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
白魚や　きながらうこく　水の色,shirauo ya / kinagara ugoku / mizu no iro,"whitebait —
moving while still alive,
the colour of water",,Onitsura,,Spring,白魚 shirauo (whitebait; icefish),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
水ふんで草で足ふく　夏野かな,mizu funde / kusa de ashi fuku / natsuno kana,"stepping through water —
wiping one's feet on grass:
a summer field",,Onitsura,,Summer,夏野 natsuno (summer field),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
行水も　日まぜになりぬ　虫のこゑ,gyōzui mo / himazeni narinu / mushi no koe,"the outdoor bath
now every other day —
insect voices",,Onitsura,,Autumn,虫の声 mushi no koe (insect voices),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
雪の朝　独り干鮭を　噛み得タリ,yuki no asa / hitori karazake wo / kami etari,"a snowy morning —
alone, I manage
to gnaw dried salmon",芭蕉,Bashō,,Winter,雪 yuki (snow),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
いづる鶯　声波ヲうって　腸氷ル夜やなみだ,izuru uguisu / koe nami wo utte / harawata koōru yoru ya namida,"the warbler emerges —
its cry strikes the waves,
a night of frozen entrails and tears",,Bashō,,Spring,鶯 uguisu (warbler; bush warbler),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
芭蕉野分して　望に雨を聞く夜かな,bashō nowaki shite / nozomi ni ame wo kiku yoru kana,"the banana plant torn by storm —
a night of listening
to rain in a basin",,Bashō,,Autumn,野分 nowaki (autumn gale; typhoon),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
野ざらしを　心に風の　しむ身かな,nozarashi wo / kokoro ni kaze no / shimu mi kana,"resolved to be
a bleached skeleton —
the wind cuts to the bone",,Bashō,,Autumn,野ざらし nozarashi (bleached bones),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
猿を聞く人　捨て子に秋の風いかに,saru wo kiku hito / sutego ni aki no / kaze ikani,"you who hear the monkey cry —
what of the abandoned child
in the autumn wind?",,Bashō,,Autumn,秋の風 aki no kaze (autumn wind),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
山路来て　何やらゆかし　すみれ草,yamaji kite / naniyara yukashi / sumire gusa,"coming along a mountain path —
something strangely moving:
violets",,Bashō,,Spring,菫 sumire (violet),,Yamashito Haiku Rekishi,Chapter 3: The Sprouting of a New Wind,,,,,,,,,,,,,,,,,,,
古池や　蛙飛びこむ　水の音,furuike ya / kawazu tobikomu / mizu no oto,"the ancient pond —
a frog leaps in,
sound of water",芭蕉,Bashō,,Spring,蛙 kawazu (frog),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
鷹一つ　見付けてうれしい　いらこ崎,taka hitotsu / mitsukete ureshi / Irako-zaki,"one hawk found —
what joy:
Cape Irako",,Bashō,,Winter,鷹 taka (hawk; winter hawk),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
おもしろうて　やがて悲しき　鵜舟かな,omoshiroute / yagate kanashiki / ubune kana,"delightful —
and soon after, sad:
the cormorant boats",,Bashō,,Summer,鵜舟 ubune (cormorant boat),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,1
吹きとばす　石はあさまの　野分かな,fukitobasu / ishi wa Asama no / nowaki kana,"blowing away the stones —
Mt. Asama's
autumn gale",,Bashō,,Autumn,野分 nowaki (autumn gale; typhoon),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
行く春や　鳥啼き　魚の目は泪,yuku haru ya / tori naki / sakana no me wa namida,"spring going —
birds cry,
and in the eyes of fish, tears",,Bashō,,Spring,行く春 yuku haru (departing spring),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
あらたうと　青葉若葉の　日の光,ara tōto / aoba wakaba no / hi no hikari,"how holy —
the light of the sun
on green leaves, young leaves",,Bashō,,Summer,青葉若葉 aoba wakaba (green leaves; fresh young leaves),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
夏草や　兵共が　夢の跡,natsukusa ya / tsuwamono-domo ga / yume no ato,"summer grasses —
all that remains
of warriors' dreams",,Bashō,,Summer,夏草 natsukusa (summer grasses),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
さみだれを　あつめて早し　最上川,samidare wo / atsumete hayashi / Mogamigawa,"gathering all
the rains of May —
swift, the Mogami",,Bashō,,Summer,五月雨 samidare (May rains; summer rains),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
荒海や　佐渡によこたふ　天の河,araumi ya / Sado ni yokotau / amanogawa,"the rough sea —
stretching toward Sado island,
the Milky Way",,Bashō,,Autumn,天の河 amanogawa (Milky Way),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
一家に　遊女も寝たり　萩と月,hitotsu ya ni / yūjo mo netari / hagi to tsuki,"under one roof —
courtesans asleep too,
bush clover and moon",,Bashō,,Autumn,萩 hagi (bush clover),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
初しぐれ　猿も小蓑を　ほしげなり,hatsushigure / saru mo komino wo / hoshige nari,"the first winter rain —
the monkey too seems to want
a little raincoat",,Bashō,,Winter,初時雨 hatsushigure (first winter rain),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
うき我を　さびしがらせよ　閑古鳥,uki ware wo / sabishigarase yo / kankodori,"make me lonelier still,
o cuckoo,
wretched as i am",,Bashō,,Summer,閑古鳥 kankodori (cuckoo),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
病雁の　夜寒に落ちて　旅寝かな,yamigarasu / yosamu ni ochite / tabine kana,"a sick wild goose
falling in the cold night —
sleeping on the road",,Bashō,,Autumn,雁 kari (wild geese),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
行春を　近江の人と　惜しみける,yuku haru wo / Ōmi no hito to / oshimi keru,"lamenting spring's passing
with the people of Ōmi —
how we mourned it",,Bashō,,Spring,行く春 yuku haru (departing spring),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
草臥て　宿かるころや　藤の花,kutabirete / yado karu koro ya / fuji no hana,"weary, the hour
to find lodging —
wisteria in bloom",,Bashō,,Spring,藤 fuji (wisteria),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
梅が香に　のつと日の出る　山路かな,ume ga ka ni / notto hi no deru / yamaji kana,"into the plum's fragrance —
the sun rising suddenly:
a mountain road",,Bashō,,Spring,梅 ume (plum blossoms),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
傘に　押しわけみたる　柳かな,kasa ni / oshiwakemitaru / yanagi kana,"pushing aside with my umbrella —
the willow",,Bashō,,Spring,柳 yanagi (willow),,Yamashito Haiku Rekishi,Chapter 4: The World of Bashō,,,,,,,,,,,,,,,,,,,
